0.01	14	0.6421	0.7311	0.4880
0.03	6	0.4460	1.1477	0.4880
0.04	7	0.3846	1.1290	0.4880
0.05	5	0.3568	1.1462	0.4880
0.06	5	0.3392	1.1318	0.4880
0.08	5	0.3351	1.0914	0.4880
0.09	6	0.3166	1.0943	0.4880
0.10	9	0.3121	1.0974	0.4880
0.12	9	0.3135	1.0744	0.4880
0.13	9	0.3161	1.0331	0.4910
0.14	7	0.3045	1.0556	0.4950
0.15	5	0.2886	1.0485	0.4970
0.17	9	0.2880	1.0338	0.5100
0.18	9	0.2727	0.9282	0.5490
0.19	9	0.2579	0.8450	0.6450
0.20	9	0.2305	0.7676	0.7070
0.22	6	0.2189	0.8367	0.6850
0.23	5	0.2163	0.7490	0.7140
0.24	9	0.2066	0.7249	0.7150
0.26	9	0.2107	0.7052	0.7260
0.27	5	0.2009	0.7162	0.7210
0.28	9	0.2079	0.6981	0.7270
0.29	9	0.2014	0.6843	0.7320
0.31	5	0.1837	0.7118	0.7250
0.32	7	0.1845	0.7198	0.7230
0.33	7	0.2024	0.7191	0.7240
0.35	9	0.1899	0.6903	0.7320
0.36	7	0.1899	0.7257	0.7240
0.37	7	0.1901	0.6757	0.7360
0.38	7	0.1942	0.6439	0.7520
0.40	5	0.1911	0.7274	0.7260
0.41	7	0.1856	0.6765	0.7440
0.42	9	0.1828	0.6451	0.7540
0.44	5	0.1867	0.6882	0.7380
0.45	6	0.1816	0.6177	0.7590
0.46	7	0.1926	0.6478	0.7480
0.47	9	0.1687	0.6647	0.7490
0.49	6	0.1890	0.6367	0.7490
0.50	5	0.1816	0.6000	0.7640
0.51	6	0.1763	0.6240	0.7590
0.52	5	0.1726	0.6431	0.7520
0.54	5	0.1753	0.6291	0.7590
0.55	9	0.1820	0.6188	0.7550
0.56	11	0.1711	0.6680	0.7410
0.58	7	0.1704	0.6711	0.7410
0.59	6	0.1812	0.6091	0.7590
0.60	7	0.1748	0.6116	0.7600
0.61	5	0.1686	0.6241	0.7610
0.63	9	0.1737	0.6025	0.7660
0.64	9	0.1679	0.6275	0.7590
0.65	9	0.1673	0.6278	0.7550
0.67	6	0.1748	0.6059	0.7620
0.68	5	0.1696	0.6098	0.7660
0.69	6	0.1780	0.6050	0.7610
0.70	7	0.1681	0.6165	0.7660
0.72	8	0.1657	0.6633	0.7500
0.73	9	0.1746	0.6265	0.7600
0.74	9	0.1772	0.6082	0.7670
0.76	7	0.1637	0.5993	0.7650
0.77	7	0.1772	0.5861	0.7680
0.78	6	0.1750	0.6082	0.7600
0.79	6	0.1638	0.6235	0.7630
0.81	9	0.1682	0.6256	0.7590
0.82	9	0.1704	0.5781	0.7730
0.83	7	0.1657	0.6189	0.7600
0.84	5	0.1643	0.5803	0.7740
0.86	6	0.1794	0.5694	0.7760
0.87	5	0.1670	0.5925	0.7710
0.88	5	0.1673	0.5964	0.7680
0.90	6	0.1694	0.5804	0.7730
0.91	7	0.1673	0.5872	0.7770
0.92	6	0.1723	0.6404	0.7620
0.93	8	0.1674	0.5806	0.7750
0.95	7	0.1641	0.6243	0.7680
0.96	5	0.1773	0.5844	0.7750
0.97	6	0.1602	0.5949	0.7720
0.99	8	0.1698	0.5707	0.7760
1.00	8	0.1643	0.6018	0.7720
1.01	9	0.1683	0.6004	0.7700
1.01	1	0.1785	0.6016	0.7690
